HH ID,Indiv ID,Sex F=1; M=0,Age,Birthdate,"
Relate to Head
Non-relative=6",Mom ID,Education,Enrolled,Hours worked per week,Volunteering hours per week
3,1,0,50,12/12/1967,1,,17,1,40,0
3,2,1,39,3/14/1978,2,,17,1,40,0
3,3,0,21,6/14/1996,3,,15,0,40,0
3,4,1,19,5/6/1998,3,,15,0,15,0
3,5,1,8,12/12/2009,3,2,2,0,0,0
3,6,1,6,9/6/2011,3,2,0,0,0,0
3,7,0,90,7/13/1927,4,,17,1,0,0
2,1,1,57,5/16/1960,1,,16,1,32,0
2,2,1,20,11/26/1997,3,1,15,0,0,0
2,3,0,23,9/11/1994,3,1,15,0,0,0
2,4,0,24,5/29/1993,3,1,15,1,60,0
11,1,0,55,5/16/1962,1,,16,1,40,0
11,2,1,53,10/3/1964,2,,13,1,40,0
11,3,0,25,2/26/1993,3,2,15,1,40,0
11,4,0,22,7/17/1995,3,2,15,1,40,0
11,5,1,19,3/27/1998,3,2,15,0,15,5
11,6,0,16,3/14/2001,3,2,11,0,0,5
11,7,1,12,2/13/2006,3,2,99,,0,0
6,1,0,50,2/2/1967,1,,15,1,60,0
6,2,1,53,1/9/1965,2,,16,0,0,10
6,3,1,23,9/13/1994,3,,15,0,40,0
6,4,1,20,1/31/1997,3,,15,0,40,2
7,1,0,56,1/15/1964,4,,17,1,40,
7,2,1,54,4/12/1966,4,2,16,1,40,
7,3,1,21,10/1/1996,3,,15,0,0,4
7,4,1,28,3/15/1989,3,,17,0,0,
4,1,0,60,10/27/1958,1,,17,1,40,0
4,2,1,55,12/17/1963,2,,16,1,40,0
4,3,1,27,12/19/1990,3,2,17,1,40,0
4,4,0,22,1/6/1996,3,2,15,0,0,0
1,1,0,21,3/18/1996,3,3,15,0,0,0
1,2,0,51,10/13/1969,1,,13,1,60,0
1,3,1,53,3/5/1967,2,,13,1,0,0
1,4,0,19,7/28/1998,3,3,15,0,0,0
12,1,1,19,11/27/1998,3,,15,0,15,0
12,2,1,53,1/1/1965,1,2,14,1,30,0
13,1,0,65,10/17/1953,1,,15,1,40,0
13,2,1,48,27-Sep,2,,17,1,55,5
13,3,1,20,11/15/1997,5,2,15,0,40,3
10,1,0,20,07/071998,3,2,15,0,0,0
10,2,1,40,4/4/1978,2,2,15,1,40,5
10,3,0,45,6/6/1973,1,2,16,1,40,0
8,1,0,36,10/21/1981,1,,16,1,40,0
8,2,1,35,4/23/1982,2,,15,1,0,5
8,3,1,8,3/5/2009,3,2,3,0,0,0
8,4,1,19,3/18/1998,3,2,15,0,8,0
9,1,0,26,7/23/1991,3,2,16,0,0,0
9,2,1,50,12/19/1967,2,2,15,1,40,5
9,3,0,55,4/7/1962,1,2,15,1,40,5
